Player Tag,ID,Level,Arena,Total Exp Points,Trophies,Max Trophies,Donations,Donations Received,Total Donations,Donation Ratio,Role,Clan Cards Collected,Total Games,Wins,Win Rate,Losses,Loss Rate
#JQ02PJ,RedMoon,51,Arena 19,460564,7146,7174,0,0,159237,7.93605781211064,,160492,20065,4714,0.23,3067,0.15
#JL8JY,King Goblin,4,Arena 2,0,687,687,0,0,14,0.2153846153846154,,0,65,31,0.48,29,0.45
#PUVY08V,Romolo ,34,Arena 15,76123,5166,5332,0,0,15101,3.2608507881667026,,36525,4631,1635,0.35,1691,0.37
#JY8P89P8U,julian,5,Arena 3,0,774,803,0,0,24,0.2962962962962963,,0,81,46,0.57,34,0.42
#CV08UUYUU,blesscrak,5,Arena 1,560,251,263,0,0,5,0.18518518518518517,member,0,27,11,0.41,10,0.37
#JLV2882CJ,fernanfloo,4,Arena 2,0,480,526,0,0,9,0.17647058823529413,,0,51,24,0.47,26,0.51
#YRP29C9,Joza Bigs,51,Arena 19,432274,7323,7323,0,0,24232,7.003468208092485,member,15335,3460,1229,0.36,1107,0.32
#VPY8QYP2Q,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#9Y809Q2P8,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#VYUVRQP,..M.r.X..,11,Arena 14,67931,4778,4891,0,0,26667,8.404349196344153,,4350,3173,1046,0.33,853,0.27
#CJ8PPLPRR,cheto,1,Arena 1,17,57,59,0,0,0,0.0,,0,4,2,0.5,2,0.5
#VPCJ0Y,fafadu31 (2),34,Arena 16,82911,5699,5699,0,0,9174,3.969710082215491,elder,2390,2311,681,0.29,452,0.2
#JLLLYJ8P2,Eva,8,Arena 7,0,2069,2159,0,0,141,0.3780160857908847,,0,373,215,0.58,157,0.42
#Y0Q9CVV,Papi,8,Arena 7,3806,2119,2119,0,0,713,0.42015321154979374,member,0,1697,762,0.45,831,0.49
#JY0QJV,ThePravato,13,Arena 15,135417,5024,5559,0,0,60071,8.78487861947938,,138195,6838,2806,0.41,2629,0.38
#UQ0208U,mic9090,4,Arena 2,0,467,652,0,0,0,0.0,,0,143,42,0.29,98,0.69
#LQRUUJ,L_e_M_b_E_r,30,Arena 12,42317,3971,4197,0,0,3814,1.6079258010118045,member,2820,2372,790,0.33,746,0.31
#UQPL9V9J2,Mary,2,Arena 1,0,55,63,0,0,0,0.0,,0,24,8,0.33,15,0.62
#PY2U2LQ90,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#PQL89CQP,black_jack15,36,Arena 14,100158,4893,4998,0,0,31791,5.752985884907709,,3080,5526,1959,0.35,1833,0.33
#CUJLJ90UY,Ash,1,Arena 1,16,29,30,0,0,0,0.0,,0,2,1,0.5,1,0.5
#CQ2UCYJY,aleks,10,Arena 11,0,3457,3563,0,0,18445,9.682414698162729,,10615,1905,570,0.3,477,0.25
#QJVUCPY29,adryan,7,Arena 6,0,1765,1996,0,0,54,0.30337078651685395,,0,178,94,0.53,83,0.47
#RJPQVRQQP,HUGO,6,Arena 4,0,1161,1221,0,0,30,0.36585365853658536,,0,82,57,0.7,24,0.29
#U9RUCJ9U9,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#JL0P8,Fulmine,4,Arena 3,0,849,849,0,0,0,0.0,leader,0,40,30,0.75,9,0.23
#RUUUJJQL,琪大人,10,Arena 9,0,2758,3089,0,0,10318,7.052631578947368,member,0,1463,655,0.45,575,0.39
#LL09VV0QL,Askol24,21,Arena 7,8291,2000,2092,0,0,413,1.449122807017544,,0,285,133,0.47,103,0.36
#LQC2CY9YV,Tyler,8,Arena 10,0,3153,3231,0,0,102,0.32075471698113206,,0,318,166,0.52,151,0.47
#9CVCVVPRU,sujuk_volt,34,Arena 17,81396,6303,6305,0,0,3908,0.6755401901469317,member,4985,5785,1992,0.34,2212,0.38
#LR08QJP8U,Cris,4,Arena 2,0,480,503,0,0,9,0.15517241379310345,,0,58,23,0.4,34,0.59
#YC00PPJVL,Joel,10,Arena 11,0,3300,3335,0,0,294,0.36658354114713215,,0,802,459,0.57,342,0.43
#C0PYQ,jp,52,Arena 20,488647,7878,7878,45,120,55019,6.450058616647127,coLeader,8520,8530,3827,0.45,3268,0.38
#P98QQLVPU,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#QLPUPJP0J,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#C9J98Q2,Skar_Face,7,Arena 4,0,1240,1369,0,0,919,1.3338171262699565,,0,689,321,0.47,309,0.45
#QV8UV,Jake,6,Arena 3,0,812,921,0,0,560,2.7450980392156863,member,0,204,94,0.46,104,0.51
#8YYPVLPU,galo44,10,Arena 14,33565,4957,4983,0,0,7442,3.0663370416151627,member,24752,2427,1021,0.42,980,0.4
#QUVR0JU,الباستي,11,Arena 13,42294,4200,5139,0,0,381,0.0369615832363213,,0,10308,2284,0.22,2390,0.23
#8R2CCYC,Anshu,6,Arena 5,0,1557,1557,0,0,247,1.1126126126126126,,0,222,94,0.42,88,0.4
#Q0V2UY80Q,unicorn,6,Arena 5,0,1456,1524,0,0,30,0.29411764705882354,,0,102,57,0.56,44,0.43
#9Q0YV9RQV,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#CYJ9UL0YC,sophia,6,Arena 4,0,1121,1151,0,0,54,0.23376623376623376,,0,231,64,0.28,166,0.72
#CJU0YCJ8Q,ابتيب,2,Arena 1,69,286,299,0,0,0,0.0,,0,35,14,0.4,21,0.6
#JQ0C9VYCC,kenny,7,Arena 6,0,1663,1725,0,0,60,0.3,,0,200,97,0.48,102,0.51
#R9V2YYVV8,Hayden,4,Arena 3,0,822,837,0,0,0,0.0,,0,45,32,0.71,13,0.29
#CL2PY,mr gullum,10,Arena 12,36191,4024,4242,0,0,8823,2.5980565371024733,leader,7200,3396,1161,0.34,1212,0.36
